id,fecha,placa,litros,costo,kilometraje,estacion,created_at
12,2025-09-17,CL292737,62.1,35024.4,136895,La Cristalina,2025-09-17 12:37:31
13,2025-09-17,CL299881,48.7,27466.800000000003,137793,La Cristalina,2025-09-17 15:15:16
14,2025-09-17,AB8164,29.7,16750.8,192178,La Cristalina,2025-09-17 16:32:38
15,2025-09-17,BGK039,31.1,17540.4,115143,La Cristalina,2025-09-17 22:55:38
16,2025-09-18,CL348421,51.0,28764.0,26187,La Cristalina,2025-09-18 13:24:06
19,2025-09-18,C173325,104.3,58825.2,75774,La Cristalina,2025-09-18 16:36:35
20,2025-09-18,AB8573,50.4,28425.6,57568,La Cristalina,2025-09-18 17:26:27
21,2025-09-19,AB8455,42.5,23970.0,49181,La Cristalina,2025-09-19 20:09:10
22,2025-09-19,BNN407,47.8,26959.199999999997,149386,La Cristalina,2025-09-19 20:54:32
23,2025-09-20,CL292737,44.3,24985.199999999997,137249,La Cristalina,2025-09-20 16:56:27
25,2025-09-23,BKZ889,53.29,30055.56,229672,Cristalina Fortuna,2025-09-23 18:08:38
26,2025-09-23,AB8573,53.29,30055.56,57817,La Cristalina,2025-09-24 01:40:03
27,2025-09-24,AB8455,35.47,20005.079999999998,49359,La cristalina,2025-09-24 17:17:34
28,2025-09-24,CL348421,53.22,30016.079999999998,264431,Gasolinera la cristalina,2025-09-24 22:04:58
29,2025-09-25,AB8455,30.14,16998.96,49630,La Cristalina ,2025-09-26 01:27:14
30,2025-09-28,AB8573,51.45,29017.800000000003,58198,La Cristalina,2025-09-28 18:35:13
31,2025-09-29,C173325,49.5,27967.5,75842,La Cristalina,2025-09-30 00:48:24
32,2025-10-02,AB8573,42.8,24182.0,58446,La Cristalina,2025-10-02 17:29:23
33,2025-10-02,AB8455,33.0,18645.0,49785,La Cristalina,2025-10-02 21:02:15
34,2025-10-02,C173325,110.5,62432.5,76449,La Cristalina,2025-10-03 01:48:26
35,2025-10-03,CL299881,39.7,22430.5,138305,La Cristalina,2025-10-03 19:09:28
36,2025-10-03,EE43072,237.0,133905.0,0,La Cristalina,2025-10-03 19:10:35
37,2025-10-04,BGK039,19.7,11130.5,115694,La Cristalina,2025-10-04 13:31:08
38,2025-10-04,AB8164,20.8,11752.0,192288,La Cristalina,2025-10-04 15:17:36
39,2025-10-04,BNN407,38.3,21639.5,149564,La Cristalina,2025-10-04 17:07:11
40,2025-10-04,CL348421,50.7,28645.5,26892,La Cristalina,2025-10-04 18:57:03
41,2025-10-06,AB8455,26.5,14972.5,49921,La Cristalina,2025-10-06 15:21:44
42,2025-10-06,BKZ889,40.02,22611.300000000003,229933,La Cristalina,2025-10-06 17:14:13
43,2025-10-06,CL215121,31.8,17967.0,185300,La Cristalina,2025-10-06 18:45:32
44,2025-10-06,C173325,57.8,32657.0,76725,La Cristalina,2025-10-06 23:21:48
45,2025-10-09,EE43072,285.8,161477.0,0,La Cristalina,2025-10-09 16:27:23
46,2025-10-10,EE43072,252.0,142380.0,0,La Cristalina,2025-10-10 13:28:24
47,2025-10-10,AB8573,32.6,18419.0,58630,La Cristalina,2025-10-10 17:20:59
48,2025-10-10,BNN407,33.9,19153.5,149722,La Cristalina,2025-10-10 20:04:10
49,2025-10-11,AB8455,40.0,22600.0,50128,La Cristalina,2025-10-11 16:35:49
50,2025-10-12,AB8573,28.15,15904.75,59222,La Cristalina,2025-10-12 22:41:43
51,2025-10-13,C173325,67.6,38194.0,77222,La Cristalina,2025-10-13 19:13:30
52,2025-10-13,CL292737,30.4,17176.0,137426,La Cristalina,2025-10-13 19:15:51
53,2025-10-14,AB8455,33.2,18459.2,50293,La Cristalina,2025-10-14 23:47:03
54,2025-10-15,EE43072,515.0,286340.0,0,La Cristalina,2025-10-15 20:45:37
55,2025-10-16,AB8164,24.0,13344.0,192399,La Cristalina,2025-10-16 19:44:40
56,2025-10-17,AGV 4053,46.4,25798.399999999998,452,La Cristalina,2025-10-17 21:11:43
57,2025-10-18,AB8573,42.9,23852.399999999998,59452,La Cristalina,2025-10-18 17:17:10
58,2025-10-18,BNN407,33.3,18514.8,149861,La Cristalina,2025-10-18 18:27:43
59,2025-10-18,BLC791,26.3,17805.100000000002,74401,La Cristalina,2025-10-18 19:53:41
60,2025-10-18,BKZ889,91.39,50812.840000000004,230508,La Cristalina,2025-10-19 00:45:23
61,2025-10-20,C173325,30.0,16680.0,77609,La Cristalina,2025-10-20 17:25:48
