id,tipo_alerta,vehiculo_placa,destinatario_email,asunto,mensaje,estado,created_at
1,Mantenimiento Vencido,C173325,contabilidad2@arenalmanoa.com,🚨 Mantenimiento Vencido - Vehículo C173325,El vehículo C173325 tiene mantenimiento vencido desde hace 5 días,enviado,2025-09-02 15:52:47
2,Póliza Próxima a Vencer,B456789,contabilidad2@arenalmanoa.com,⚠️ Póliza de Seguro - Vence en 15 días,La póliza del vehículo B456789 vencerá el 20 de septiembre,enviado,2025-09-02 15:52:53
3,RTV Próximo a Vencer,A123456,contabilidad2@arenalmanoa.com,📋 Revisión Técnica Vehicular Próxima,El RTV del vehículo A123456 vence en 10 días,enviado,2025-09-02 15:52:53
4,Kilometraje Anómalo,C173325,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo C173325,Diferencia detectada: 2 km entre 74748 km y 74750 km,enviado,2025-09-02 16:01:17
5,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 5 km entre 4151 km y 4156 km,enviado,2025-09-17 01:37:22
6,Kilometraje Anómalo,AB8573,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AB8573,Diferencia detectada: 14 km entre 57545 km y 57559 km,enviado,2025-09-18 17:09:54
7,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 18 km entre 26190 km y 26208 km,enviado,2025-09-18 18:51:18
8,Kilometraje Anómalo,AB8455,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AB8455,Diferencia detectada: 112 km entre 49190 km y 49302 km,enviado,2025-09-22 21:02:54
9,Kilometraje Anómalo,AB8573,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AB8573,Diferencia detectada: 148 km entre 57578 km y 57726 km,enviado,2025-09-23 00:03:53
10,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 206 km entre 73794 km y 74000 km,enviado,2025-09-23 19:49:34
11,Kilometraje Anómalo,AB8164,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AB8164,Diferencia detectada: 19 km entre 192192 km y 192211 km,enviado,2025-09-26 00:27:14
12,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 111 km entre 74023 km y 74134 km,enviado,2025-09-26 18:43:36
13,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 311 km entre 26227 km y 26538 km,enviado,2025-09-26 22:49:39
14,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 331 km entre 26227 km y 26558 km,enviado,2025-09-27 03:55:06
15,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 322 km entre 137802 km y 138124 km,enviado,2025-09-27 21:33:12
16,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 322 km entre 137802 km y 138124 km,enviado,2025-09-27 21:48:12
17,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 19 km entre 138127 km y 138146 km,enviado,2025-09-29 15:32:04
18,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 4 km entre 74194 km y 74190 km,enviado,2025-09-29 20:55:31
19,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 4 km entre 74194 km y 74198 km,enviado,2025-09-29 22:46:36
20,Kilometraje Anómalo,C173325,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo C173325,Diferencia detectada: 194 km entre 75700 km y 75894 km,enviado,2025-09-30 00:49:19
21,Kilometraje Anómalo,C173325,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo C173325,Diferencia detectada: 14 km entre 76159 km y 76173 km,enviado,2025-10-01 09:13:59
22,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 27 km entre 26745 km y 26772 km,enviado,2025-10-01 19:55:42
23,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 4 km entre 74214 km y 74218 km,enviado,2025-10-01 21:15:07
24,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 102 km entre 138161 km y 138263 km,enviado,2025-10-02 14:52:32
25,Kilometraje Anómalo,BNN407,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BNN407,Diferencia detectada: 201 km entre 149282 km y 149483 km,enviado,2025-10-02 17:17:49
26,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 4 km entre 138286 km y 138290 km,enviado,2025-10-03 14:22:05
27,Kilometraje Anómalo,BGK039,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BGK039,Diferencia detectada: 447 km entre 115153 km y 115600 km,enviado,2025-10-03 21:30:44
28,Kilometraje Anómalo,BNN407,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BNN407,Diferencia detectada: 4 km entre 149551 km y 149555 km,enviado,2025-10-04 16:39:17
29,Kilometraje Anómalo,AB8164,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AB8164,Diferencia detectada: 4 km entre 192300 km y 192296 km,enviado,2025-10-04 17:50:05
30,Kilometraje Anómalo,BNN407,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BNN407,Diferencia detectada: 9 km entre 149575 km y 149584 km,enviado,2025-10-04 21:14:50
