id,numero_cita,placa,fecha_vencimiento,estado,observaciones,created_at
4,0,BLC791,2026-01-01,Vigente,,2025-10-01 21:35:46
5,0,C173325,2026-05-01,Vigente,,2025-10-01 22:08:47
6,0,CL215121,2026-01-01,Vigente,,2025-10-01 22:09:11
7,0,CL348421,2027-01-01,Vigente,,2025-10-01 22:10:54
8,0,CL299881,2026-01-01,Vigente,,2025-10-01 22:11:15
9,0,CL292737,2026-07-01,Vigente,,2025-10-01 22:12:41
12,0,AB8455,2025-11-01,Vigente,,2025-10-03 23:52:05
13,0,AB8573,2026-03-01,Vigente,,2025-10-03 23:53:41
14,0,BGK039,2026-09-01,Vigente,,2025-10-03 23:54:16
15,0,BKZ889,2026-09-01,Vigente,,2025-10-03 23:54:42
16,0,EE43072,2027-02-01,Vigente,,2025-10-03 23:56:04
17,0,BNN407,2026-07-01,Vigente,,2025-10-03 23:58:04
18,0,AB8164,2025-10-06,Vigente,,2025-10-06 19:36:09
