id,placa,marca,modelo,ano,color,propietario,poliza,seguro,created_at,updated_at,km_inicial
1,AB8164,TOYOTA,HIACE,2016,BLANCO,EMPRESAS TURISTICAS MANOA SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.661094,0
2,AB8455,TOYOTA,HIACE,2023,BLANCO,BAC SAN JOSE LEASING SA,,INS,2025-09-01 21:23:13,2025-09-01T21:23:45.662539,0
3,AB8573,TOYOTA,HIACE,2024,BLANCO,BAC SAN JOSE LEASING SA,,INS,2025-09-01 21:23:13,2025-09-01T21:23:45.663190,0
4,BGK039,TOYOTA,HIACE,2014,BLANCO,EMPRESAS TURISTICAS MANOA SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.664023,0
5,BKZ889,TOYOTA,LAND CRUISER VX,2017,BLANCO,3-101-796376 SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.664535,0
6,BLC791,TOYOTA,AVANZA,2017,BLANCO,3-101-796376 SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.664988,0
7,BNN407,TOYOTA,HIACE,2017,BLANCO,3-101-796376 SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.665436,0
8,C173325,RAMM,CAMION,2018,BLANCO,EMPRESAS TURISTICAS MANOA SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.665938,0
9,CL215121,HYUNDAI,H-1,2007,BLANCO,EMPRESAS TURISTICAS MANOA SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.666413,0
10,CL292737,TOYOTA,HILUX,2017,BLANCO,3-101-796376 SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.666874,0
11,CL299881,KIA,K2700,2014,BLANCO,EMPRESAS TURISTICAS MANOA SOCIEDAD ANONIMA,,QUALITAS,2025-09-01 21:23:13,2025-09-01T21:23:45.667324,0
12,CL348421,HINO,LY230L-HBMLS3,2024,BLANCO,BAC SAN JOSE LEASING SA,,INS,2025-09-01 21:23:13,2025-09-01T21:23:45.667767,0
14,EE43072,KOMATSU,SAA4D95LE,2023,No especificado,LEASING BAC,,,2025-09-29 22:10:52,2025-09-29 22:10:52,0
15,AGV 4053,TOYOTA,HILUX,2026,GRIS,LEASING BAC,,INS,2025-10-06 19:36:01,2025-10-06 19:36:01,0
16,AGV 1805,TOYOTA,HIACE,2025,BLANCO,LEASING BAC,,INS,2025-10-06 21:00:32,2025-10-06 21:00:32,0
17,AGV 1806,TOYOTA,HIACE,2025,BLANCO,LEASING BAC,,INS,2025-10-06 21:00:55,2025-10-06 21:00:55,0
